City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
75,Bethel,US,41.3712,-73.414,41.09,91,100,13.8,haze
76,Safakulevo,RU,54.9901,62.5442,33.04,93,84,9.26,broken clouds
77,Lakes Entrance,AU,-37.8811,147.981,56.16,76,94,1.79,overcast clouds
78,Comarapa,BO,-17.9,-64.4833,61.12,91,100,3.13,overcast clouds
79,Trairi,BR,-3.2778,-39.2689,83.28,72,99,7.45,overcast clouds
80,Naze,JP,28.3667,129.4833,61.72,72,96,13.42,overcast clouds
81,Itoman,JP,26.1247,127.6694,70.57,67,75,11.5,broken clouds
82,Kruisfontein,ZA,-34.0033,24.7314,73.89,58,27,19.17,scattered clouds
83,Norman Wells,CA,65.282,-126.8329,-23.76,69,20,4.61,few clouds
84,Georgetown,MY,5.4112,100.3354,84.15,81,20,3.44,few clouds
85,Sal Rei,CV,16.1833,-22.9167,73.6,60,75,23.02,broken clouds
86,Thunder Bay,CA,48.4001,-89.3168,30.29,90,20,2.3,few clouds
87,Barrow,US,71.2906,-156.7887,-9.96,87,6,18.9,clear sky
88,Dauriya,RU,49.9333,116.8667,26.11,59,100,9.64,overcast clouds
89,Douglas,US,41.3,-96.167,35.65,87,100,10.36,overcast clouds
90,Vaini,TO,-21.2,-175.2,73.56,100,75,0.0,broken clouds
91,Camacha,PT,33.0833,-16.3333,62.02,72,40,19.57,scattered clouds
92,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,43,20,18.41,few clouds
93,Bubaque,GW,11.2833,-15.8333,76.35,57,6,6.22,clear sky
94,Esperanza,DO,19.5847,-70.9849,75.29,78,0,7.0,clear sky
95,Nabire,ID,-3.3667,135.4833,76.6,89,100,3.04,overcast clouds
96,Kodiak,US,57.79,-152.4072,31.96,66,36,7.45,scattered clouds
97,New Norfolk,AU,-42.7826,147.0587,58.71,65,19,1.01,few clouds
98,Bilibino,RU,68.0546,166.4372,9.14,94,100,2.35,overcast clouds
99,Hasaki,JP,35.7333,140.8333,41.4,63,17,5.86,few clouds
100,Gat,IL,31.61,34.7642,52.81,100,40,19.95,scattered clouds
101,Chuy,UY,-33.6971,-53.4616,71.35,85,100,8.59,overcast clouds
102,Haines Junction,CA,60.7522,-137.5108,3.76,100,99,1.03,overcast clouds
103,Khorinsk,RU,52.1657,109.7726,22.51,88,100,5.17,overcast clouds
104,Sechura,PE,-5.5569,-80.8222,72.07,76,25,11.56,scattered clouds
105,Fare,PF,-16.7,-151.0167,80.17,73,20,10.2,light rain
106,Saint-Francois,FR,46.4154,3.9054,70.68,38,0,5.75,clear sky
107,Rypefjord,NO,70.6333,23.6667,28.87,80,75,13.8,light snow
108,Kenai,US,60.5544,-151.2583,31.14,91,100,6.91,overcast clouds
109,Lompoc,US,34.6391,-120.4579,54.12,100,100,3.44,fog
110,Bretzfeld,DE,49.1794,9.4383,69.13,39,0,4.65,clear sky
111,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,82,75,16.73,broken clouds
112,Razdolinsk,RU,58.4211,94.6658,17.91,98,100,2.26,overcast clouds
113,Tasiilaq,GL,65.6145,-37.6368,13.44,65,98,3.44,overcast clouds
114,Tyumentsevo,RU,53.3224,81.498,30.4,95,100,19.8,snow
115,Cape Town,ZA,-33.9258,18.4232,79.11,43,20,12.66,few clouds
116,Bereda,ES,43.2686,-7.5406,62.15,66,9,6.24,clear sky
117,Kavaratti,IN,10.5669,72.642,83.98,63,10,4.38,clear sky
118,Khatanga,RU,71.9667,102.5,-0.49,96,100,6.15,overcast clouds
119,Maniitsoq,GL,65.4167,-52.9,7.72,63,93,3.78,overcast clouds
120,Leningradskiy,RU,69.3833,178.4167,-8.32,100,97,7.05,overcast clouds
121,Laguna,US,38.421,-121.4238,56.97,83,0,0.0,clear sky
122,Aykhal,RU,66.0,111.5,-3.08,91,100,4.85,overcast clouds
123,Cherskiy,RU,68.75,161.3,11.86,97,100,5.41,overcast clouds
124,Bossangoa,CF,6.4926,17.4552,100.44,23,100,4.36,overcast clouds
125,Saldanha,ZA,-33.0117,17.9442,75.25,73,0,15.9,clear sky
126,Half Moon Bay,US,37.4636,-122.4286,52.61,90,100,5.75,mist
127,Chokurdakh,RU,70.6333,147.9167,-7.67,100,99,1.88,overcast clouds
128,Severo-Kurilsk,RU,50.6789,156.125,28.02,84,100,4.09,overcast clouds
129,Victoria,HK,22.2855,114.1577,66.96,93,100,11.99,overcast clouds
130,Port Said,EG,31.2565,32.2841,55.38,67,40,11.5,scattered clouds
131,Iskar,BG,43.45,24.2667,66.56,24,0,13.2,clear sky
132,Hobart,AU,-42.8794,147.3294,59.05,75,40,9.22,scattered clouds
133,Guymon,US,36.6828,-101.4816,34.25,48,0,9.69,clear sky
134,Bani,DO,18.2833,-70.3333,76.86,67,42,13.35,scattered clouds
135,Tonj,SS,7.2737,28.6822,103.35,17,10,6.33,clear sky
136,Pevek,RU,69.7008,170.3133,12.33,93,97,1.23,overcast clouds
