City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
55,Santa Ana,US,2022-03-23 20:00:00,33.7456,-117.8678,90.95,21,0,3.0
56,Avarua,CK,2022-03-23 20:02:47,-21.2078,-159.775,82.45,78,20,9.22
57,Tessalit,ML,2022-03-23 20:02:47,20.1986,1.0114,78.64,6,1,9.89
58,Sovetskoye,RU,2022-03-23 20:02:47,52.2861,85.4131,19.8,79,100,7.07
59,Buckingham,GB,2022-03-23 19:57:56,51.9997,-0.9878,57.02,60,82,5.97
60,Winnemucca,US,2022-03-23 20:02:48,40.973,-117.7357,66.25,34,0,0.0
61,Severo-Kurilsk,RU,2022-03-23 20:02:48,50.6789,156.125,26.58,77,27,9.48
62,Nanakuli,US,2022-03-23 20:02:48,21.3906,-158.1547,79.11,68,100,8.05
63,Hilo,US,2022-03-23 20:02:48,19.7297,-155.09,80.26,76,76,1.01
64,Yellowknife,CA,2022-03-23 20:00:22,62.456,-114.3525,14.41,90,100,9.31
65,Tucuman,AR,2022-03-23 20:00:18,-26.8241,-65.2226,85.23,54,1,3.89
66,Tinaquillo,VE,2022-03-23 20:02:49,9.9186,-68.3047,94.33,24,9,2.55
67,Leningradskiy,RU,2022-03-23 20:02:49,69.3833,178.4167,4.98,87,100,4.21
68,Nicoya,CR,2022-03-23 20:02:49,10.1483,-85.452,95.18,39,85,5.28
69,Carnarvon,AU,2022-03-23 20:02:49,-24.8667,113.6333,80.1,66,100,12.84
70,Martan-Chu,RU,2022-03-23 20:02:50,43.0637,45.5622,28.29,86,9,3.94
71,Terrace,CA,2022-03-23 20:02:50,54.5163,-128.6035,38.66,100,100,3.31
72,Pacific Grove,US,2022-03-23 20:02:17,36.6177,-121.9166,72.39,86,40,10.0
73,Panuco,MX,2022-03-23 20:02:50,22.05,-98.1667,69.98,21,44,14.45
74,Upernavik,GL,2022-03-23 20:02:50,72.7868,-56.1549,-5.35,95,66,2.35
75,San Cristobal,VE,2022-03-23 20:02:51,7.7669,-72.225,85.89,35,51,5.99
76,Sabang,ID,2022-03-23 20:02:51,5.8933,95.3214,81.93,74,87,7.45
77,Manakara,MG,2022-03-23 20:02:51,-22.1333,48.0167,74.66,82,99,1.41
78,Pavino,RU,2022-03-23 20:02:51,59.1139,46.1414,25.34,97,98,4.14
79,Nuuk,GL,2022-03-23 20:02:52,64.1835,-51.7216,16.41,67,20,12.66
80,Macae,BR,2022-03-23 20:02:52,-22.3708,-41.7869,75.58,73,81,7.81
81,Fort Nelson,CA,2022-03-23 20:02:52,58.8053,-122.7002,33.49,100,100,3.11
82,Hambantota,LK,2022-03-23 20:02:52,6.1241,81.1185,79.12,81,60,9.64
83,Santa Rosa,PH,2022-03-23 20:02:53,14.3122,121.1114,82.09,78,53,6.58
84,Saskylakh,RU,2022-03-23 20:02:53,71.9167,114.0833,-11.97,100,97,5.53
85,Tingo Maria,PE,2022-03-23 20:02:53,-9.2895,-76.0088,84.07,68,62,3.58
86,Dikson,RU,2022-03-23 20:02:53,73.5069,80.5464,3.38,93,100,8.1
87,Aswan,EG,2022-03-23 20:02:54,24.0934,32.907,59.99,23,0,12.91
88,Boende,CD,2022-03-23 20:02:54,-0.2167,20.8667,76.23,67,5,3.56
89,Nikolskoye,RU,2022-03-23 20:02:54,59.7035,30.7861,32.81,98,22,3.09
